Guardians of the Galaxy,2014,8.1,333.13
Prometheus,2012,7,126.46
Split,2016,7.3,138.12
Sing,2016,7.2,270.32
Suicide Squad,2016,6.2,325.02
The Great Wall,2016,6.1,45.13
La La Land,2016,8.3,151.06
Mindhorn,2016,6.4,
The Lost City of Z,2016,7.1,8.01
Passengers,2016,7,100.01
Fantastic Beasts and Where to Find Them,2016,7.5,234.02
Hidden Figures,2016,7.8,169.27
Rogue One,2016,7.9,532.17
Moana,2016,7.7,248.75
Colossal,2016,6.4,2.87
The Secret Life of Pets,2016,6.6,368.31
Hacksaw Ridge,2016,8.2,67.12
Jason Bourne,2016,6.7,162.16
Lion,2016,8.1,51.69
Arrival,2016,8,100.5
Gold,2016,6.7,7.22
Manchester by the Sea,2016,7.9,47.7
Hounds of Love,2016,6.7,
Trolls,2016,6.5,153.69
Independence Day: Resurgence,2016,5.3,103.14
Paris pieds nus,2016,6.8,
Bahubali: The Beginning,2015,8.3,6.5
Dead Awake,2016,4.7,0.01
Bad Moms,2016,6.2,113.08
Assassin's Creed,2016,5.9,54.65
Why Him?,2016,6.3,60.31
Nocturnal Animals,2016,7.5,10.64
X-Men: Apocalypse,2016,7.1,155.33
Deadpool,2016,8,363.02
Resident Evil: The Final Chapter,2016,5.6,26.84
Captain America: Civil War,2016,7.9,408.08
Interstellar,2014,8.6,187.99
Doctor Strange,2016,7.6,232.6
The Magnificent Seven,2016,6.9,93.38
5- 25- 77,2007,7.1,
Sausage Party,2016,6.3,97.66
Moonlight,2016,7.5,27.85
Don't Fuck in the Woods,2016,2.7,
The Founder,2016,7.2,12.79
Lowriders,2016,6.3,4.21
Pirates of the Caribbean: On Stranger Tides,2011,6.7,241.06
Miss Sloane,2016,7.3,3.44
Fallen,2016,5.6,
Star Trek Beyond,2016,7.1,158.8
The Last Face,2016,3.7,
Star Wars: Episode VII - The Force Awakens,2015,8.1,936.63
Underworld: Blood Wars,2016,5.8,30.35
Mother's Day,2016,5.6,32.46
John Wick,2014,7.2,43
The Dark Knight,2008,9,533.32
Silence,2016,7.3,7.08
Don't Breathe,2016,7.2,89.21
Me Before You,2016,7.4,56.23
Their Finest,2016,7,3.18
Sully,2016,7.5,125.07
Batman v Superman: Dawn of Justice,2016,6.7,330.25
The Autopsy of Jane Doe,2016,6.8,
The Girl on the Train,2016,6.5,75.31
